episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,500314,105.0,314,0.09999999999999998,True,False
1,500641,230.0,327,0.09999999999999998,True,False
2,500858,150.0,217,0.09999999999999998,True,False
3,501278,225.0,420,0.09999999999999998,True,False
4,501470,125.0,192,0.09999999999999998,True,False
5,501658,155.0,188,0.09999999999999998,True,False
6,501817,135.0,159,0.09999999999999998,True,False
7,502079,185.0,262,0.09999999999999998,True,False
8,502268,135.0,189,0.09999999999999998,True,False
9,502448,90.0,180,0.09999999999999998,True,False
10,502843,210.0,395,0.09999999999999998,True,False
11,503131,220.0,288,0.09999999999999998,True,False
12,503292,80.0,161,0.09999999999999998,True,False
13,503597,235.0,305,0.09999999999999998,True,False
14,503748,65.0,151,0.09999999999999998,True,False
15,503887,15.0,139,0.09999999999999998,True,False
16,504242,180.0,355,0.09999999999999998,True,False
17,504425,125.0,183,0.09999999999999998,True,False
18,504598,90.0,173,0.09999999999999998,True,False
19,504754,120.0,156,0.09999999999999998,True,False
20,504913,125.0,159,0.09999999999999998,True,False
21,505117,110.0,204,0.09999999999999998,True,False
22,505407,225.0,290,0.09999999999999998,True,False
23,505578,55.0,171,0.09999999999999998,True,False
24,505860,180.0,282,0.09999999999999998,True,False
25,506049,125.0,189,0.09999999999999998,True,False
26,506229,80.0,180,0.09999999999999998,True,False
27,506632,220.0,403,0.09999999999999998,True,False
28,507067,395.0,435,0.09999999999999998,True,False
29,507232,70.0,165,0.09999999999999998,True,False
30,507525,160.0,293,0.09999999999999998,True,False
31,507700,80.0,175,0.09999999999999998,True,False
32,507890,180.0,190,0.09999999999999998,True,False
33,508042,80.0,152,0.09999999999999998,True,False
34,508191,130.0,149,0.09999999999999998,True,False
35,508352,100.0,161,0.09999999999999998,True,False
36,508504,90.0,152,0.09999999999999998,True,False
37,508899,235.0,395,0.09999999999999998,True,False
38,509063,135.0,164,0.09999999999999998,True,False
39,509262,115.0,199,0.09999999999999998,True,False
40,509590,115.0,328,0.09999999999999998,True,False
41,510064,255.0,474,0.09999999999999998,True,False
42,510227,105.0,163,0.09999999999999998,True,False
43,510400,125.0,173,0.09999999999999998,True,False
44,510682,130.0,282,0.09999999999999998,True,False
45,511085,185.0,403,0.09999999999999998,True,False
46,511313,155.0,228,0.09999999999999998,True,False
47,511512,70.0,199,0.09999999999999998,True,False
48,511794,200.0,282,0.09999999999999998,True,False
49,512107,205.0,313,0.09999999999999998,True,False
50,512668,360.0,561,0.09999999999999998,True,False
51,512807,65.0,139,0.09999999999999998,True,False
52,513002,125.0,195,0.09999999999999998,True,False
53,513171,85.0,169,0.09999999999999998,True,False
54,513363,135.0,192,0.09999999999999998,True,False
55,513552,30.0,189,0.09999999999999998,True,False
56,513735,150.0,183,0.09999999999999998,True,False
57,513960,125.0,225,0.09999999999999998,True,False
58,514118,115.0,158,0.09999999999999998,True,False
59,514323,125.0,205,0.09999999999999998,True,False
60,514678,435.0,355,0.09999999999999998,True,False
61,514884,155.0,206,0.09999999999999998,True,False
62,515063,150.0,179,0.09999999999999998,True,False
63,515625,485.0,562,0.09999999999999998,True,False
64,516033,170.0,408,0.09999999999999998,True,False
65,516306,245.0,273,0.09999999999999998,True,False
66,516478,90.0,172,0.09999999999999998,True,False
67,516849,225.0,371,0.09999999999999998,True,False
68,517013,125.0,164,0.09999999999999998,True,False
69,517390,205.0,377,0.09999999999999998,True,False
70,517584,125.0,194,0.09999999999999998,True,False
71,517789,80.0,205,0.09999999999999998,True,False
72,517987,30.0,198,0.09999999999999998,True,False
73,518163,90.0,176,0.09999999999999998,True,False
74,518302,90.0,139,0.09999999999999998,True,False
75,518490,150.0,188,0.09999999999999998,True,False
76,518856,190.0,366,0.09999999999999998,True,False
77,519044,115.0,188,0.09999999999999998,True,False
78,519375,210.0,331,0.09999999999999998,True,False
79,519575,125.0,200,0.09999999999999998,True,False
80,519955,205.0,380,0.09999999999999998,True,False
81,520227,260.0,272,0.09999999999999998,True,False
82,520498,185.0,271,0.09999999999999998,True,False
83,520815,285.0,317,0.09999999999999998,True,False
84,520963,90.0,148,0.09999999999999998,True,False
85,521140,125.0,177,0.09999999999999998,True,False
86,521499,225.0,359,0.09999999999999998,True,False
87,521686,185.0,187,0.09999999999999998,True,False
88,521876,155.0,190,0.09999999999999998,True,False
89,522199,285.0,323,0.09999999999999998,True,False
90,522376,50.0,177,0.09999999999999998,True,False
91,522728,430.0,352,0.09999999999999998,True,False
92,523007,230.0,279,0.09999999999999998,True,False
93,523273,180.0,266,0.09999999999999998,True,False
94,523578,445.0,305,0.09999999999999998,True,False
95,524090,295.0,512,0.09999999999999998,True,False
96,524288,125.0,198,0.09999999999999998,True,False
97,524475,125.0,187,0.09999999999999998,True,False
98,524667,180.0,192,0.09999999999999998,True,False
99,524836,125.0,169,0.09999999999999998,True,False
100,525013,105.0,177,0.09999999999999998,True,False
101,525203,150.0,190,0.09999999999999998,True,False
102,525346,110.0,143,0.09999999999999998,True,False
103,525711,250.0,365,0.09999999999999998,True,False
104,525991,235.0,280,0.09999999999999998,True,False
105,526621,410.0,630,0.09999999999999998,True,False
106,526801,135.0,180,0.09999999999999998,True,False
107,526972,125.0,171,0.09999999999999998,True,False
108,527292,170.0,320,0.09999999999999998,True,False
109,527566,185.0,274,0.09999999999999998,True,False
110,527718,30.0,152,0.09999999999999998,True,False
111,527808,15.0,90,0.09999999999999998,True,False
112,528006,150.0,198,0.09999999999999998,True,False
113,528165,105.0,159,0.09999999999999998,True,False
114,528357,180.0,192,0.09999999999999998,True,False
115,528553,125.0,196,0.09999999999999998,True,False
116,528817,150.0,264,0.09999999999999998,True,False
117,528907,15.0,90,0.09999999999999998,True,False
118,529357,305.0,450,0.09999999999999998,True,False
119,529568,125.0,211,0.09999999999999998,True,False
120,529742,135.0,174,0.09999999999999998,True,False
121,530039,200.0,297,0.09999999999999998,True,False
122,530313,175.0,274,0.09999999999999998,True,False
123,530453,90.0,140,0.09999999999999998,True,False
124,530631,155.0,178,0.09999999999999998,True,False
125,530792,110.0,161,0.09999999999999998,True,False
126,531122,265.0,330,0.09999999999999998,True,False
127,531263,65.0,141,0.09999999999999998,True,False
128,531588,275.0,325,0.09999999999999998,True,False
129,531938,255.0,350,0.09999999999999998,True,False
130,532224,205.0,286,0.09999999999999998,True,False
131,532681,460.0,457,0.09999999999999998,True,False
132,532875,80.0,194,0.09999999999999998,True,False
133,533190,210.0,315,0.09999999999999998,True,False
134,533470,175.0,280,0.09999999999999998,True,False
135,533749,220.0,279,0.09999999999999998,True,False
136,534055,175.0,306,0.09999999999999998,True,False
137,534219,65.0,164,0.09999999999999998,True,False
138,534390,155.0,171,0.09999999999999998,True,False
139,534547,100.0,157,0.09999999999999998,True,False
140,534913,245.0,366,0.09999999999999998,True,False
141,535120,135.0,207,0.09999999999999998,True,False
142,535400,205.0,280,0.09999999999999998,True,False
143,535680,180.0,280,0.09999999999999998,True,False
144,535860,150.0,180,0.09999999999999998,True,False
145,536243,185.0,383,0.09999999999999998,True,False
146,536518,235.0,275,0.09999999999999998,True,False
147,536669,45.0,151,0.09999999999999998,True,False
148,536964,130.0,295,0.09999999999999998,True,False
149,537430,270.0,466,0.09999999999999998,True,False
150,537622,155.0,192,0.09999999999999998,True,False
151,537903,210.0,281,0.09999999999999998,True,False
152,538219,190.0,316,0.09999999999999998,True,False
153,538397,125.0,178,0.09999999999999998,True,False
154,538899,280.0,502,0.09999999999999998,True,False
155,539054,80.0,155,0.09999999999999998,True,False
156,539401,240.0,347,0.09999999999999998,True,False
157,539661,230.0,260,0.09999999999999998,True,False
158,540051,440.0,390,0.09999999999999998,True,False
159,540379,245.0,328,0.09999999999999998,True,False
160,540572,125.0,193,0.09999999999999998,True,False
161,540747,155.0,175,0.09999999999999998,True,False
162,541028,230.0,281,0.09999999999999998,True,False
163,541320,200.0,292,0.09999999999999998,True,False
164,541475,105.0,155,0.09999999999999998,True,False
165,541953,545.0,478,0.09999999999999998,True,False
166,542132,155.0,179,0.09999999999999998,True,False
167,542273,50.0,141,0.09999999999999998,True,False
168,542552,230.0,279,0.09999999999999998,True,False
169,542708,75.0,156,0.09999999999999998,True,False
170,543162,485.0,454,0.09999999999999998,True,False
171,543462,210.0,300,0.09999999999999998,True,False
172,543647,155.0,185,0.09999999999999998,True,False
173,543966,225.0,319,0.09999999999999998,True,False
174,544247,210.0,281,0.09999999999999998,True,False
175,544414,135.0,167,0.09999999999999998,True,False
176,544593,125.0,179,0.09999999999999998,True,False
177,544785,155.0,192,0.09999999999999998,True,False
178,544965,125.0,180,0.09999999999999998,True,False
179,545497,275.0,532,0.09999999999999998,True,False
180,545685,125.0,188,0.09999999999999998,True,False
181,546034,230.0,349,0.09999999999999998,True,False
182,546125,15.0,91,0.09999999999999998,True,False
183,546537,255.0,412,0.09999999999999998,True,False
184,546926,280.0,389,0.09999999999999998,True,False
185,547264,235.0,338,0.09999999999999998,True,False
186,547584,215.0,320,0.09999999999999998,True,False
187,547763,90.0,179,0.09999999999999998,True,False
188,547925,105.0,162,0.09999999999999998,True,False
189,548361,250.0,436,0.09999999999999998,True,False
190,548636,155.0,275,0.09999999999999998,True,False
191,548724,5.0,88,0.09999999999999998,True,False
192,549016,175.0,292,0.09999999999999998,True,False
193,549200,60.0,184,0.09999999999999998,True,False
194,549603,280.0,403,0.09999999999999998,True,False
195,549753,85.0,150,0.09999999999999998,True,False
196,549908,100.0,155,0.09999999999999998,True,False
197,550213,200.0,305,0.09999999999999998,True,False
198,550499,220.0,286,0.09999999999999998,True,False
199,550797,105.0,298,0.09999999999999998,True,False
200,551159,175.0,362,0.09999999999999998,True,False
201,551441,215.0,282,0.09999999999999998,True,False
202,552015,340.0,574,0.09999999999999998,True,False
203,552289,180.0,274,0.09999999999999998,True,False
204,552479,70.0,190,0.09999999999999998,True,False
205,552793,200.0,314,0.09999999999999998,True,False
206,552979,135.0,186,0.09999999999999998,True,False
207,553137,105.0,158,0.09999999999999998,True,False
208,553224,15.0,87,0.09999999999999998,True,False
209,553559,255.0,335,0.09999999999999998,True,False
210,553932,250.0,373,0.09999999999999998,True,False
211,554096,120.0,164,0.09999999999999998,True,False
212,554446,155.0,350,0.09999999999999998,True,False
213,554606,75.0,160,0.09999999999999998,True,False
214,554789,80.0,183,0.09999999999999998,True,False
215,555112,205.0,323,0.09999999999999998,True,False
216,555277,105.0,165,0.09999999999999998,True,False
217,555469,135.0,192,0.09999999999999998,True,False
218,556027,375.0,558,0.09999999999999998,True,False
219,556498,290.0,471,0.09999999999999998,True,False
220,556652,120.0,154,0.09999999999999998,True,False
221,556817,135.0,165,0.09999999999999998,True,False
222,557167,260.0,350,0.09999999999999998,True,False
223,557345,155.0,178,0.09999999999999998,True,False
224,557536,110.0,191,0.09999999999999998,True,False
225,557727,125.0,191,0.09999999999999998,True,False
226,557897,125.0,170,0.09999999999999998,True,False
227,558179,200.0,282,0.09999999999999998,True,False
228,558479,215.0,300,0.09999999999999998,True,False
229,558767,205.0,288,0.09999999999999998,True,False
230,559139,435.0,372,0.09999999999999998,True,False
231,559290,120.0,151,0.09999999999999998,True,False
232,559458,125.0,168,0.09999999999999998,True,False
233,559839,270.0,381,0.09999999999999998,True,False
234,560122,240.0,283,0.09999999999999998,True,False
235,560585,500.0,463,0.09999999999999998,True,False
236,560984,500.0,399,0.09999999999999998,True,False
237,561108,15.0,124,0.09999999999999998,True,False
238,561445,200.0,337,0.09999999999999998,True,False
239,561620,135.0,175,0.09999999999999998,True,False
240,562193,330.0,573,0.09999999999999998,True,False
241,562475,60.0,282,0.09999999999999998,True,False
242,562756,215.0,281,0.09999999999999998,True,False
243,562910,90.0,154,0.09999999999999998,True,False
244,563096,150.0,186,0.09999999999999998,True,False
245,563280,155.0,184,0.09999999999999998,True,False
246,563439,105.0,159,0.09999999999999998,True,False
247,563997,355.0,558,0.09999999999999998,True,False
248,564318,250.0,321,0.09999999999999998,True,False
249,564642,180.0,324,0.09999999999999998,True,False
250,564963,205.0,321,0.09999999999999998,True,False
251,565398,315.0,435,0.09999999999999998,True,False
252,565892,280.0,494,0.09999999999999998,True,False
253,566185,200.0,293,0.09999999999999998,True,False
254,566504,220.0,319,0.09999999999999998,True,False
255,566685,100.0,181,0.09999999999999998,True,False
256,567053,200.0,368,0.09999999999999998,True,False
257,567490,485.0,437,0.09999999999999998,True,False
258,568064,530.0,574,0.09999999999999998,True,False
259,568488,240.0,424,0.09999999999999998,True,False
260,568679,150.0,191,0.09999999999999998,True,False
261,568962,230.0,283,0.09999999999999998,True,False
262,569342,285.0,380,0.09999999999999998,True,False
263,569749,250.0,407,0.09999999999999998,True,False
264,570317,380.0,568,0.09999999999999998,True,False
265,570491,125.0,174,0.09999999999999998,True,False
266,571159,485.0,668,0.09999999999999998,True,False
267,571649,345.0,490,0.09999999999999998,True,False
268,571929,165.0,280,0.09999999999999998,True,False
269,572285,230.0,356,0.09999999999999998,True,False
270,572620,225.0,335,0.09999999999999998,True,False
271,573020,295.0,400,0.09999999999999998,True,False
272,573210,150.0,190,0.09999999999999998,True,False
273,573381,125.0,171,0.09999999999999998,True,False
274,573551,155.0,170,0.09999999999999998,True,False
275,573718,60.0,167,0.09999999999999998,True,False
276,573996,210.0,278,0.09999999999999998,True,False
277,574455,320.0,459,0.09999999999999998,True,False
278,574882,185.0,427,0.09999999999999998,True,False
279,575163,240.0,281,0.09999999999999998,True,False
280,575410,130.0,247,0.09999999999999998,True,False
281,575580,105.0,170,0.09999999999999998,True,False
282,575859,200.0,279,0.09999999999999998,True,False
283,576082,165.0,223,0.09999999999999998,True,False
284,576366,165.0,284,0.09999999999999998,True,False
285,576674,245.0,308,0.09999999999999998,True,False
286,576995,190.0,321,0.09999999999999998,True,False
287,577352,270.0,357,0.09999999999999998,True,False
288,577673,170.0,321,0.09999999999999998,True,False
289,577948,110.0,275,0.09999999999999998,True,False
290,578110,135.0,162,0.09999999999999998,True,False
291,578307,105.0,197,0.09999999999999998,True,False
292,578470,135.0,163,0.09999999999999998,True,False
293,579005,310.0,535,0.09999999999999998,True,False
294,579186,125.0,181,0.09999999999999998,True,False
295,579368,150.0,182,0.09999999999999998,True,False
296,579996,570.0,628,0.09999999999999998,True,False
297,580180,90.0,184,0.09999999999999998,True,False
298,580477,225.0,297,0.09999999999999998,True,False
299,580672,125.0,195,0.09999999999999998,True,False
300,580859,125.0,187,0.09999999999999998,True,False
301,581051,120.0,192,0.09999999999999998,True,False
302,581342,140.0,291,0.09999999999999998,True,False
303,581617,230.0,275,0.09999999999999998,True,False
304,582264,385.0,647,0.09999999999999998,True,False
305,582626,235.0,362,0.09999999999999998,True,False
306,582897,230.0,271,0.09999999999999998,True,False
307,583177,230.0,280,0.09999999999999998,True,False
308,583419,140.0,242,0.09999999999999998,True,False
309,583563,65.0,144,0.09999999999999998,True,False
310,583730,100.0,167,0.09999999999999998,True,False
311,584004,195.0,274,0.09999999999999998,True,False
312,584147,30.0,143,0.09999999999999998,True,False
313,584320,60.0,173,0.09999999999999998,True,False
314,584475,55.0,155,0.09999999999999998,True,False
315,584661,80.0,186,0.09999999999999998,True,False
316,584827,95.0,166,0.09999999999999998,True,False
317,585112,170.0,285,0.09999999999999998,True,False
318,585420,205.0,308,0.09999999999999998,True,False
319,585616,165.0,196,0.09999999999999998,True,False
320,586136,280.0,520,0.09999999999999998,True,False
321,586438,160.0,302,0.09999999999999998,True,False
322,586682,130.0,244,0.09999999999999998,True,False
323,587137,190.0,455,0.09999999999999998,True,False
324,587507,170.0,370,0.09999999999999998,True,False
325,587685,35.0,178,0.09999999999999998,True,False
326,587826,50.0,141,0.09999999999999998,True,False
327,588284,400.0,458,0.09999999999999998,True,False
328,588443,90.0,159,0.09999999999999998,True,False
329,588696,195.0,253,0.09999999999999998,True,False
330,589244,215.0,548,0.09999999999999998,True,False
331,589709,305.0,465,0.09999999999999998,True,False
332,589936,45.0,227,0.09999999999999998,True,False
333,590107,145.0,171,0.09999999999999998,True,False
334,590650,315.0,543,0.09999999999999998,True,False
335,590819,80.0,169,0.09999999999999998,True,False
336,591059,75.0,240,0.09999999999999998,True,False
337,591223,135.0,164,0.09999999999999998,True,False
338,591408,90.0,185,0.09999999999999998,True,False
339,591699,225.0,291,0.09999999999999998,True,False
340,591995,205.0,296,0.09999999999999998,True,False
341,592194,155.0,199,0.09999999999999998,True,False
342,592347,80.0,153,0.09999999999999998,True,False
343,592546,100.0,199,0.09999999999999998,True,False
344,592845,230.0,299,0.09999999999999998,True,False
345,593011,90.0,166,0.09999999999999998,True,False
346,593208,100.0,197,0.09999999999999998,True,False
347,593585,260.0,377,0.09999999999999998,True,False
348,593738,75.0,153,0.09999999999999998,True,False
349,594121,410.0,383,0.09999999999999998,True,False
350,594281,105.0,160,0.09999999999999998,True,False
351,594676,155.0,395,0.09999999999999998,True,False
352,594876,110.0,200,0.09999999999999998,True,False
353,595276,180.0,400,0.09999999999999998,True,False
354,595658,185.0,382,0.09999999999999998,True,False
355,595853,125.0,195,0.09999999999999998,True,False
356,596124,150.0,271,0.09999999999999998,True,False
357,596313,100.0,189,0.09999999999999998,True,False
358,596618,160.0,305,0.09999999999999998,True,False
359,596912,140.0,294,0.09999999999999998,True,False
360,597298,225.0,386,0.09999999999999998,True,False
361,597593,180.0,295,0.09999999999999998,True,False
362,597772,125.0,179,0.09999999999999998,True,False
363,598090,170.0,318,0.09999999999999998,True,False
364,598519,110.0,429,0.09999999999999998,True,False
365,598865,210.0,346,0.09999999999999998,True,False
366,599051,145.0,186,0.09999999999999998,True,False
367,599250,130.0,199,0.09999999999999998,True,False
368,599501,110.0,251,0.09999999999999998,True,False
369,599893,170.0,392,0.09999999999999998,True,False
370,600084,125.0,191,0.09999999999999998,True,False
371,600358,110.0,274,0.09999999999999998,True,False
372,600524,125.0,166,0.09999999999999998,True,False
373,600704,100.0,180,0.09999999999999998,True,False
374,601091,195.0,387,0.09999999999999998,True,False
375,601359,115.0,268,0.09999999999999998,True,False
376,601620,160.0,261,0.09999999999999998,True,False
377,601863,100.0,243,0.09999999999999998,True,False
378,602168,145.0,305,0.09999999999999998,True,False
379,602306,50.0,138,0.09999999999999998,True,False
380,602479,110.0,173,0.09999999999999998,True,False
381,602669,150.0,190,0.09999999999999998,True,False
382,602935,180.0,266,0.09999999999999998,True,False
383,603332,180.0,397,0.09999999999999998,True,False
384,603602,205.0,270,0.09999999999999998,True,False
385,603904,245.0,302,0.09999999999999998,True,False
386,604053,110.0,149,0.09999999999999998,True,False
387,604635,205.0,582,0.09999999999999998,True,False
388,604817,155.0,182,0.09999999999999998,True,False
389,605112,140.0,295,0.09999999999999998,True,False
390,605370,230.0,258,0.09999999999999998,True,False
391,605544,125.0,174,0.09999999999999998,True,False
392,605766,125.0,222,0.09999999999999998,True,False
393,606054,200.0,288,0.09999999999999998,True,False
394,606230,90.0,176,0.09999999999999998,True,False
395,606427,125.0,197,0.09999999999999998,True,False
396,606608,130.0,181,0.09999999999999998,True,False
397,607015,205.0,407,0.09999999999999998,True,False
398,607202,165.0,187,0.09999999999999998,True,False
399,607743,350.0,541,0.09999999999999998,True,False
400,608196,230.0,453,0.09999999999999998,True,False
401,608471,175.0,275,0.09999999999999998,True,False
402,608629,85.0,158,0.09999999999999998,True,False
403,608991,150.0,362,0.09999999999999998,True,False
404,609150,110.0,159,0.09999999999999998,True,False
405,609292,105.0,142,0.09999999999999998,True,False
406,609592,175.0,300,0.09999999999999998,True,False
407,609922,240.0,330,0.09999999999999998,True,False
408,610115,115.0,193,0.09999999999999998,True,False
409,610273,90.0,158,0.09999999999999998,True,False
410,610470,90.0,197,0.09999999999999998,True,False
411,610765,205.0,295,0.09999999999999998,True,False
412,611205,245.0,440,0.09999999999999998,True,False
413,611742,295.0,537,0.09999999999999998,True,False
414,611899,90.0,157,0.09999999999999998,True,False
415,612183,230.0,284,0.09999999999999998,True,False
416,612346,90.0,163,0.09999999999999998,True,False
417,612645,145.0,299,0.09999999999999998,True,False
418,613100,235.0,455,0.09999999999999998,True,False
419,613420,240.0,320,0.09999999999999998,True,False
420,613603,125.0,183,0.09999999999999998,True,False
421,613772,120.0,169,0.09999999999999998,True,False
422,613926,80.0,154,0.09999999999999998,True,False
423,614184,100.0,258,0.09999999999999998,True,False
424,614345,90.0,161,0.09999999999999998,True,False
425,614506,90.0,161,0.09999999999999998,True,False
426,614679,50.0,173,0.09999999999999998,True,False
427,614844,120.0,165,0.09999999999999998,True,False
428,614997,120.0,153,0.09999999999999998,True,False
429,615864,440.0,867,0.09999999999999998,True,False
430,616039,90.0,175,0.09999999999999998,True,False
431,616195,75.0,156,0.09999999999999998,True,False
432,616341,30.0,146,0.09999999999999998,True,False
433,616791,280.0,450,0.09999999999999998,True,False
434,617217,205.0,426,0.09999999999999998,True,False
435,617537,145.0,320,0.09999999999999998,True,False
436,617713,105.0,176,0.09999999999999998,True,False
437,618062,430.0,349,0.09999999999999998,True,False
438,618355,100.0,293,0.09999999999999998,True,False
439,618508,90.0,153,0.09999999999999998,True,False
440,619014,560.0,506,0.09999999999999998,True,False
441,619263,110.0,249,0.09999999999999998,True,False
442,619769,400.0,506,0.09999999999999998,True,False
443,619919,80.0,150,0.09999999999999998,True,False
444,620189,115.0,270,0.09999999999999998,True,False
445,620404,90.0,215,0.09999999999999998,True,False
446,620592,125.0,188,0.09999999999999998,True,False
447,621030,470.0,438,0.09999999999999998,True,False
448,621621,325.0,591,0.09999999999999998,True,False
449,621771,105.0,150,0.09999999999999998,True,False
450,621943,125.0,172,0.09999999999999998,True,False
451,622077,30.0,134,0.09999999999999998,True,False
452,622262,150.0,185,0.09999999999999998,True,False
453,622441,110.0,179,0.09999999999999998,True,False
454,622859,350.0,418,0.09999999999999998,True,False
455,623254,505.0,395,0.09999999999999998,True,False
456,623398,50.0,144,0.09999999999999998,True,False
457,623917,265.0,519,0.09999999999999998,True,False
458,624286,100.0,369,0.09999999999999998,True,False
459,624714,220.0,428,0.09999999999999998,True,False
460,624888,120.0,174,0.09999999999999998,True,False
461,625032,65.0,144,0.09999999999999998,True,False
462,625327,235.0,295,0.09999999999999998,True,False
463,625675,250.0,348,0.09999999999999998,True,False
464,626047,150.0,372,0.09999999999999998,True,False
465,626257,120.0,210,0.09999999999999998,True,False
466,626557,105.0,300,0.09999999999999998,True,False
467,627011,220.0,454,0.09999999999999998,True,False
468,627172,130.0,161,0.09999999999999998,True,False
469,627482,125.0,310,0.09999999999999998,True,False
470,627734,170.0,252,0.09999999999999998,True,False
471,627895,65.0,161,0.09999999999999998,True,False
472,628152,135.0,257,0.09999999999999998,True,False
473,628295,65.0,143,0.09999999999999998,True,False
474,628438,55.0,143,0.09999999999999998,True,False
475,628714,165.0,276,0.09999999999999998,True,False
476,628964,130.0,250,0.09999999999999998,True,False
477,629293,245.0,329,0.09999999999999998,True,False
478,629464,100.0,171,0.09999999999999998,True,False
479,629904,265.0,440,0.09999999999999998,True,False
480,630168,190.0,264,0.09999999999999998,True,False
481,630329,80.0,161,0.09999999999999998,True,False
482,630865,375.0,536,0.09999999999999998,True,False
483,631118,165.0,253,0.09999999999999998,True,False
484,631294,155.0,176,0.09999999999999998,True,False
485,631580,170.0,286,0.09999999999999998,True,False
486,632105,245.0,525,0.09999999999999998,True,False
487,632392,195.0,287,0.09999999999999998,True,False
488,632552,135.0,160,0.09999999999999998,True,False
489,632820,155.0,268,0.09999999999999998,True,False
490,633054,135.0,234,0.09999999999999998,True,False
491,633223,80.0,169,0.09999999999999998,True,False
492,633426,135.0,203,0.09999999999999998,True,False
493,633580,65.0,154,0.09999999999999998,True,False
494,633989,235.0,409,0.09999999999999998,True,False
495,634356,485.0,367,0.09999999999999998,True,False
496,634543,125.0,187,0.09999999999999998,True,False
497,634827,175.0,284,0.09999999999999998,True,False
498,635015,65.0,188,0.09999999999999998,True,False
499,635195,125.0,180,0.09999999999999998,True,False
500,635581,230.0,386,0.09999999999999998,True,False
501,635879,170.0,298,0.09999999999999998,True,False
502,636170,195.0,291,0.09999999999999998,True,False
503,636597,220.0,427,0.09999999999999998,True,False
